"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - rep_loss","Group: general-distillation - rep_loss__MIN","Group: general-distillation - rep_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - rep_loss","Group: general-distillation-attn - rep_loss__MIN","Group: general-distillation-attn - rep_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - rep_loss","Group: general-distillation-rep - rep_loss__MIN","Group: general-distillation-rep - rep_loss__MAX"
"197","1579.5","1572","1587","52.055464784817765","52.03689696252126","52.076337829232216","1579.5","1572","1587","91.71998457058822","91.7182748566263","91.72215454666703","1579.5","1572","1587","52.08276209156604","52.06443063095487","52.10337866842747"
"199","1595.5","1588","1603","51.99535689797095","51.97877470967006","52.01042584578196","1595.5","1588","1603","91.71999670704373","91.71883684196729","91.72119945084968","1595.5","1588","1603","52.023567842946605","52.00724495362134","52.03833303186629"
"201","1611.5","1604","1619","51.94316617289054","51.937531895424","51.95260548591614","1611.5","1604","1619","91.7179503595774","91.71610487752886","91.71944826785649","1611.5","1604","1619","51.97210982740445","51.9665860531935","51.98136886358261"
"203","1627.5","1620","1635","51.88213025804033","51.864653948542205","51.90072962370786","1627.5","1620","1635","91.71610752298407","91.71483820134944","91.71689432222549","1627.5","1620","1635","51.91213314480762","51.89483993904467","51.93053273721175"
"205","1643.5","1636","1651","51.83091665419828","51.82347354554293","51.84144979715347","1643.5","1636","1651","91.71303179133166","91.71113907663445","91.7145772127761","1643.5","1636","1651","51.86148722094521","51.854107075167775","51.87193805972735"
"207","1659.5","1652","1667","51.78332916009653","51.772632882102734","51.79650526780348","1659.5","1652","1667","91.70900637489954","91.70839758428232","91.7098319264319","1659.5","1652","1667","51.814549163616434","51.803992941871876","51.827595105538"
"209","1675.5","1668","1683","51.73737544605464","51.72715432185591","51.747611795152935","1675.5","1668","1683","91.70560948434081","91.70438398192304","91.70677133968898","1675.5","1668","1683","51.76911367871064","51.759011872128845","51.779261640139985"
"211","1691.5","1684","1699","51.68919824547496","51.676183927902066","51.70067016283671","1691.5","1684","1699","91.70104752922192","91.69969836709953","91.70237404505411","1691.5","1684","1699","51.721336004203366","51.70844419074781","51.73276136716207"
"213","1707.5","1700","1715","51.628941847944404","51.615676821974695","51.643716268241405","1707.5","1700","1715","91.70016038394604","91.69989142044096","91.70043215028043","1707.5","1700","1715","51.66163111334632","51.648451325563144","51.676288068294525"
"215","1723.5","1716","1731","51.55771898295818","51.54521394842212","51.573888680514166","1723.5","1716","1731","91.70217782730269","91.70167816386504","91.7027826553736","1723.5","1716","1731","51.5910280895188","51.57865342087311","51.606992174597345"
"217","1739.5","1732","1747","51.503702796796745","51.48946101128954","51.51658724413978","1739.5","1732","1747","91.69999047062707","91.69970127027862","91.7003386696044","1739.5","1732","1747","51.53751213514329","51.52336961000704","51.550337844424774"
"219","1755.5","1748","1763","51.44019974693243","51.424017965889284","51.457597632157174","1755.5","1748","1763","91.69918106209016","91.69834160804749","91.69995948816036","1755.5","1748","1763","51.474381545756096","51.458286377247035","51.49170844178451"
"221","1771.5","1764","1779","51.37731608536292","51.362940617918056","51.39192382693291","1771.5","1764","1779","91.6996135157683","91.6991710544373","91.70004200862004","1771.5","1764","1779","51.41186258540032","51.39754970637897","51.426390343904494"
"223","1787.5","1780","1795","51.31471858917812","51.30394598837329","51.32705697559175","1787.5","1780","1795","91.69973624441778","91.6988227100178","91.70039969398862","1787.5","1780","1795","51.34956356614649","51.33886515521587","51.361796112287614"
