"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - att_loss","Group: general-distillation - att_loss__MIN","Group: general-distillation - att_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - att_loss","Group: general-distillation-attn - att_loss__MIN","Group: general-distillation-attn - att_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - att_loss","Group: general-distillation-rep - att_loss__MIN","Group: general-distillation-rep - att_loss__MAX"
"215","1723.5","1716","1731","4.5432360986063856","4.541871052555454","4.54559284974547","1723.5","1716","1731","4.121326142773388","4.120261889707018","4.123728296774275","1723.5","1716","1731","22.183313918862993","22.147538164647194","22.22930080224486"
"217","1739.5","1732","1747","4.541382277198796","4.539914609211956","4.542486328376483","1739.5","1732","1747","4.118422893678239","4.116782375196919","4.119420823674668","1739.5","1732","1747","22.026097772517353","21.986823825868456","22.057311839527554"
"219","1755.5","1748","1763","4.5339912984280755","4.532351192272302","4.536180814630107","1755.5","1748","1763","4.110530587810896","4.10876820213722","4.112821875826309","1755.5","1748","1763","21.857832919610686","21.823702758617614","21.89396266247097"
"221","1771.5","1764","1779","4.528543164210897","4.527324852576623","4.529722535610199","1771.5","1764","1779","4.104396792317418","4.103194739635174","4.105760708451271","1771.5","1764","1779","21.71027604409717","21.681382113740643","21.74346784055233"
"223","1787.5","1780","1795","4.522721940523574","4.521998208289272","4.5235973958458215","1787.5","1780","1795","4.09795594365355","4.097197848105291","4.098987282032058","1787.5","1780","1795","21.568252035290413","21.540178418333007","21.602488829976036"
"225","1803.5","1796","1811","4.521555894834816","4.521104771422259","4.522123663650749","1803.5","1796","1811","4.0957178769698555","4.095266207824026","4.096330442953177","1803.5","1796","1811","21.45144437541767","21.429479474318377","21.47685741294514"
"227","1819.5","1812","1827","4.51664724828186","4.514598445574443","4.518146950589574","1819.5","1812","1827","4.0901575877227945","4.088089584986369","4.091745435219744","1819.5","1812","1827","21.34267114347147","21.318529042676985","21.366671639940012"
"229","1835.5","1828","1843","4.510879287691193","4.509417714754332","4.5134753712752085","1835.5","1828","1843","4.083863701666171","4.082437186859385","4.086429513787417","1835.5","1828","1843","21.229781371256447","21.205267423870918","21.259311979015667"
"231","1851.5","1844","1859","4.50957851139424","4.508719155021439","4.5109124490819825","1851.5","1844","1859","4.081706309304752","4.081039138694308","4.082683225228687","1851.5","1844","1859","21.141073225745284","21.127604124151123","21.15595027089119"
"233","1867.5","1860","1875","4.50706044698339","4.505916868788855","4.509415462613106","1867.5","1860","1875","4.078414295092933","4.077378542934145","4.080774009227753","1867.5","1860","1875","21.063305735237964","21.048221777293307","21.089542971207546"
